Country,Subject Descriptor,Units,Scale,2019,2020,2021,Estimates Start After
Denmark,Volume of imports of goods and services,Percent change,,2.956,-4.08,7.495,2020
Denmark,Volume of exports of goods and services,Percent change,,5.029,-7.007,6.185,2020
Denmark,Employment,Persons,Millions,2.88,2.856,2.87,2020
Denmark,Population,Persons,Millions,5.806,5.823,5.84,2019
Djibouti,"Gross domestic product, constant prices",Percent change,,7.5,1,5,2018
Djibouti,"Gross domestic product, current prices",U.S. dollars,Billions,3.346,3.44,3.654,2018
Djibouti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,437.16","3,481.57","3,645.50",2018
Djibouti,"Inflation, average consumer prices",Percent change,,3.319,1.777,1.155,2020
Djibouti,Volume of imports of goods and services,Percent change,,10.067,-29.363,25.722,2020
Djibouti,Volume of exports of goods and services,Percent change,,9.23,-29.504,9.962,2020
Djibouti,Population,Persons,Millions,0.974,0.988,1.002,2019
Dominica,"Gross domestic product, constant prices",Percent change,,7.488,-10.983,3.365,2018
Dominica,"Gross domestic product, current prices",U.S. dollars,Billions,0.616,0.544,0.571,2018
Dominica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"8,524.70","7,416.24","7,777.02",2011
Dominica,"Inflation, average consumer prices",Percent change,,1.505,-0.727,1.451,2020
Dominica,Volume of imports of goods and services,Percent change,,14.487,-43.489,17.986,2018
Dominica,Volume of exports of goods and services,Percent change,,37.542,-47.694,4.07,2018
Dominica,Population,Persons,Millions,0.072,0.073,0.073,2011
Dominican Republic,"Gross domestic product, constant prices",Percent change,,5.052,-6.72,9.521,2020
Dominican Republic,"Gross domestic product, current prices",U.S. dollars,Billions,89.032,78.923,89.502,2020
Dominican Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"8,595.61","7,553.51","8,491.62",2019
Dominican Republic,"Inflation, average consumer prices",Percent change,,1.811,3.781,7.806,2020
Dominican Republic,Volume of imports of goods and services,Percent change,,4.934,-11.822,10.08,2020
Dominican Republic,Volume of exports of goods and services,Percent change,,-0.388,-33.3,19.609,2020
Dominican Republic,Population,Persons,Millions,10.358,10.448,10.54,2019
Ecuador,"Gross domestic product, constant prices",Percent change,,0.012,-7.75,2.796,2020
Ecuador,"Gross domestic product, current prices",U.S. dollars,Billions,108.108,98.808,104.483,2020
Ecuador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"6,260.60","5,642.74","5,884.15",2020
Ecuador,"Inflation, average consumer prices",Percent change,,0.266,-0.339,-0.007,2020
Ecuador,Volume of imports of goods and services,Percent change,,0.772,-14.151,13.521,2020
Ecuador,Volume of exports of goods and services,Percent change,,7.487,0.236,-0.832,2020
Ecuador,Population,Persons,Millions,17.268,17.511,17.757,2020
Egypt,"Gross domestic product, constant prices",Percent change,,5.558,3.57,3.333,2020
Egypt,"Gross domestic product, current prices",U.S. dollars,Billions,302.335,363.245,396.328,2020
Egypt,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,056.98","3,600.84","3,851.75",2020
Egypt,"Inflation, average consumer prices",Percent change,,13.875,5.7,4.502,2020
Egypt,Volume of imports of goods and services,Percent change,,2.649,0.198,-7.523,2020
Egypt,Volume of exports of goods and services,Percent change,,9.325,-3.813,-11.163,2020
Egypt,Population,Persons,Millions,98.9,100.878,102.896,2020
El Salvador,"Gross domestic product, constant prices",Percent change,,2.635,-7.944,9.025,2020
El Salvador,"Gross domestic product, current prices",U.S. dollars,Billions,26.897,24.639,27.665,2020
El Salvador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,167.44","3,798.83","4,244.30",2019
El Salvador,"Inflation, average consumer prices",Percent change,,0.074,-0.37,3.564,2020
El Salvador,Volume of imports of goods and services,Percent change,,0.923,-7.794,17.934,2020
El Salvador,Volume of exports of goods and services,Percent change,,6.331,-21.545,20.893,2020
El Salvador,Population,Persons,Millions,6.454,6.486,6.518,2019
Equatorial Guinea,"Gross domestic product, constant prices",Percent change,,-5.979,-4.893,4.146,2020
Equatorial Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,11.417,10.036,12.528,2020
Equatorial Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"8,394.42","7,136.81","8,625.76",2015
Equatorial Guinea,"Inflation, average consumer prices",Percent change,,1.213,4.798,0.516,2019
Equatorial Guinea,Volume of imports of goods and services,Percent change,,-15.982,-7.81,-24.943,2017
Equatorial Guinea,Volume of exports of goods and services,Percent change,,-9.778,-8.815,-32.416,2017
Equatorial Guinea,Population,Persons,Millions,1.36,1.406,1.452,2015
Eritrea,"Gross domestic product, constant prices",Percent change,,3.836,-0.627,2.911,2018
Eritrea,"Gross domestic product, current prices",U.S. dollars,Billions,1.982,2.084,2.254,2018
Eritrea,"Gross domestic product per capita, current prices",U.S. dollars,Units,566.731,587.684,625.974,2006
Eritrea,"Inflation, average consumer prices",Percent change,,-16.365,4.842,4.306,2018
Eritrea,Volume of imports of goods and services,Percent change,,3.701,-1.323,5.312,2018
Eritrea,Volume of exports of goods and services,Percent change,,-14.142,-7.337,11.533,2018
Eritrea,Population,Persons,Millions,3.497,3.546,3.601,2006
Estonia,"Gross domestic product, constant prices",Percent change,,4.096,-2.951,8.5,2020
Estonia,"Gross domestic product, current prices",U.S. dollars,Billions,31.049,30.626,36.039,2020
Estonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"23,400.47","23,035.91","27,100.74",2019
Estonia,"Inflation, average consumer prices",Percent change,,2.268,-0.634,3.8,2020
Estonia,Volume of imports of goods and services,Percent change,,3.8,0.856,14.561,2020
Estonia,Volume of exports of goods and services,Percent change,,6.481,-4.978,13.415,2020
Estonia,Employment,Persons,Millions,0.671,0.657,0.65,2020
Estonia,Population,Persons,Millions,1.327,1.329,1.33,2019
Eswatini,"Gross domestic product, constant prices",Percent change,,2.244,-2.419,1.529,2019
Eswatini,"Gross domestic product, current prices",U.S. dollars,Billions,4.471,3.981,4.517,2019
Eswatini,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,009.99","3,532.55","3,965.43",2017
Eswatini,"Inflation, average consumer prices",Percent change,,2.598,3.872,4.295,2020
Eswatini,Volume of imports of goods and services,Percent change,,1.414,-21.145,15.077,2020
Eswatini,Volume of exports of goods and services,Percent change,,16.31,1.679,6.368,2020
Eswatini,Population,Persons,Millions,1.115,1.127,1.139,2017
Ethiopia,"Gross domestic product, constant prices",Percent change,,9.037,6.057,1.989,2020
Ethiopia,"Gross domestic product, current prices",U.S. dollars,Billions,92.608,96.611,92.757,2020
Ethiopia,"Gross domestic product per capita, current prices",U.S. dollars,Units,968.253,994.197,939.511,2016
Ethiopia,"Inflation, average consumer prices",Percent change,,15.81,20.354,25.203,2019
Ethiopia,Volume of imports of goods and services,Percent change,,-3.205,-3.375,0.575,2020
Ethiopia,Volume of exports of goods and services,Percent change,,-5.735,2.23,12.52,2020
Ethiopia,Population,Persons,Millions,95.644,97.175,98.729,2016
Fiji,"Gross domestic product, constant prices",Percent change,,-0.445,-15.725,-3.997,2020
Fiji,"Gross domestic product, current prices",U.S. dollars,Billions,5.496,4.494,4.639,2020
Fiji,"Gross domestic product per capita, current prices",U.S. dollars,Units,"6,142.93","4,995.16","5,127.44",2017
Fiji,"Inflation, average consumer prices",Percent change,,1.773,-2.593,1.1,2020
Fiji,Population,Persons,Millions,0.895,0.9,0.905,2017
Finland,"Gross domestic product, constant prices",Percent change,,1.343,-2.875,2.973,2020
Finland,"Gross domestic product, current prices",U.S. dollars,Billions,268.812,269.557,296.016,2020
Finland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"48,716.22","48,786.03","53,522.57",2020
Finland,"Inflation, average consumer prices",Percent change,,1.137,0.383,1.892,2020
Finland,Volume of imports of goods and services,Percent change,,2.314,-6.446,2.657,2020
Finland,Volume of exports of goods and services,Percent change,,6.827,-6.731,2.698,2020
Finland,Employment,Persons,Millions,2.533,2.494,2.539,2020
Finland,Population,Persons,Millions,5.518,5.525,5.531,2020
France,"Gross domestic product, constant prices",Percent change,,1.838,-7.988,6.293,2020
France,"Gross domestic product, current prices",U.S. dollars,Billions,"2,728.83","2,624.42","2,940.43",2020
France,"Gross domestic product per capita, current prices",U.S. dollars,Units,"41,989.67","40,298.85","45,028.27",2020
France,"Inflation, average consumer prices",Percent change,,1.297,0.525,1.962,2020
France,Volume of imports of goods and services,Percent change,,2.388,-12.167,8.018,2020
France,Volume of exports of goods and services,Percent change,,1.5,-16.12,7.49,2020
France,Employment,Persons,Millions,27.375,27.28,27.38,2020
France,Population,Persons,Millions,64.988,65.124,65.302,2020
Gabon,"Gross domestic product, constant prices",Percent change,,3.915,-1.838,1.481,2019
Gabon,"Gross domestic product, current prices",U.S. dollars,Billions,16.875,15.339,18.293,2019
Gabon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"8,111.34","7,277.37","8,569.22",2004
Gabon,"Inflation, average consumer prices",Percent change,,2.022,1.341,2,2020
Gabon,Volume of imports of goods and services,Percent change,,7.966,-1.597,-4.184,2019
Gabon,Volume of exports of goods and services,Percent change,,12.613,13.045,-10.641,2019
Gabon,Population,Persons,Millions,2.08,2.108,2.135,2004
The Gambia,"Gross domestic product, constant prices",Percent change,,6.222,-0.202,4.86,2020
The Gambia,"Gross domestic product, current prices",U.S. dollars,Billions,1.806,1.862,2.042,2020
The Gambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,768.921,769.661,819.22,2018
The Gambia,"Inflation, average consumer prices",Percent change,,7.116,5.931,7.035,2020
The Gambia,Volume of imports of goods and services,Percent change,,11.057,0.878,26.294,2019
The Gambia,Volume of exports of goods and services,Percent change,,19.697,-57.825,51.966,2019
The Gambia,Population,Persons,Millions,2.349,2.419,2.492,2018
Georgia,"Gross domestic product, constant prices",Percent change,,4.982,-6.16,7.69,2020
Georgia,"Gross domestic product, current prices",U.S. dollars,Billions,17.477,15.891,17.846,2020
Georgia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,693.66","4,275.29","4,807.95",2020
Georgia,"Inflation, average consumer prices",Percent change,,4.853,5.202,9.269,2020
Georgia,Volume of imports of goods and services,Percent change,,12.481,-15.121,-8.176,2020
Georgia,Volume of exports of goods and services,Percent change,,8.028,-37.716,21.602,2020
Georgia,Population,Persons,Millions,3.724,3.717,3.712,2020
Germany,"Gross domestic product, constant prices",Percent change,,1.05,-4.56,3.051,2020
Germany,"Gross domestic product, current prices",U.S. dollars,Billions,"3,888.76","3,843.34","4,230.17",2020
Germany,"Gross domestic product per capita, current prices",U.S. dollars,Units,"46,800.18","46,215.60","50,787.86",2020
Germany,"Inflation, average consumer prices",Percent change,,1.354,0.371,2.881,2020
Germany,Volume of imports of goods and services,Percent change,,2.89,-9.179,8.643,2020
Germany,Volume of exports of goods and services,Percent change,,1.137,-10.093,9.381,2020
Germany,Employment,Persons,Millions,42.192,41.742,41.411,2020
Germany,Population,Persons,Millions,83.093,83.161,83.291,2020
Ghana,"Gross domestic product, constant prices",Percent change,,6.508,0.414,4.712,2019
Ghana,"Gross domestic product, current prices",U.S. dollars,Billions,68.353,68.498,75.487,2019
Ghana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"2,265.71","2,225.51","2,413.10",2018
Ghana,"Inflation, average consumer prices",Percent change,,7.144,9.885,9.284,2019
Ghana,Volume of imports of goods and services,Percent change,,12.646,-6.067,7.379,2019
Ghana,Volume of exports of goods and services,Percent change,,5.726,-6.861,-4.756,2019
Ghana,Population,Persons,Millions,30.168,30.779,31.282,2018
Greece,"Gross domestic product, constant prices",Percent change,,1.857,-8.248,6.494,2020
Greece,"Gross domestic product, current prices",U.S. dollars,Billions,205.349,189.259,211.645,2020
Greece,"Gross domestic product per capita, current prices",U.S. dollars,Units,"19,147.46","17,657.10","19,827.16",2020
Greece,"Inflation, average consumer prices",Percent change,,0.517,-1.262,-0.114,2020
Greece,Volume of imports of goods and services,Percent change,,6.837,-7.054,4.592,2020
Greece,Volume of exports of goods and services,Percent change,,7.411,-26.249,10.206,2020
Greece,Employment,Persons,Millions,3.911,3.875,3.899,2020
Greece,Population,Persons,Millions,10.725,10.719,10.674,2020
Grenada,"Gross domestic product, constant prices",Percent change,,0.677,-13.058,2.679,2019
Grenada,"Gross domestic product, current prices",U.S. dollars,Billions,1.188,1.027,1.083,2019
Grenada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"10,608.38","9,130.37","9,575.34",2019
Grenada,"Inflation, average consumer prices",Percent change,,0.599,-0.742,2.513,2020
Grenada,Volume of imports of goods and services,Percent change,,1.771,-15.525,-0.4,2019
Grenada,Volume of exports of goods and services,Percent change,,0.777,-60.247,-18.671,2019
Grenada,Population,Persons,Millions,0.112,0.113,0.113,2020
Guatemala,"Gross domestic product, constant prices",Percent change,,3.867,-1.519,5.5,2020
Guatemala,"Gross domestic product, current prices",U.S. dollars,Billions,77.004,77.603,83.305,2020
Guatemala,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,371.27","4,317.45","4,542.25",2020
Guatemala,"Inflation, average consumer prices",Percent change,,3.7,3.214,4.759,2020
Guatemala,Volume of imports of goods and services,Percent change,,4.911,-4.603,9.5,2020
Guatemala,Volume of exports of goods and services,Percent change,,0.08,-4.449,6,2020
Guatemala,Population,Persons,Millions,17.616,17.974,18.34,2020
Guinea,"Gross domestic product, constant prices",Percent change,,5.646,7.087,5.173,2018
Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,13.514,15.388,16.724,2018
Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,991.735,"1,101.71","1,168.18",2014
Guinea,"Inflation, average consumer prices",Percent change,,9.471,10.602,11.6,2020
Guinea,Volume of imports of goods and services,Percent change,,-16.97,101.955,-20.068,2019
Guinea,Volume of exports of goods and services,Percent change,,-6.571,3.162,14.825,2019
Guinea,Population,Persons,Millions,13.627,13.967,14.317,2014
Guinea-Bissau,"Gross domestic product, constant prices",Percent change,,4.5,-1.4,3.3,2017
Guinea-Bissau,"Gross domestic product, current prices",U.S. dollars,Billions,1.44,1.434,1.592,2017
Guinea-Bissau,"Gross domestic product per capita, current prices",U.S. dollars,Units,810.558,789.856,858.04,2017
Guinea-Bissau,"Inflation, average consumer prices",Percent change,,0.286,1.463,1.904,2020
Guinea-Bissau,Volume of imports of goods and services,Percent change,,14.052,-2.993,-7.129,2019
Guinea-Bissau,Volume of exports of goods and services,Percent change,,14.57,-21.287,26.78,2019
Guinea-Bissau,Population,Persons,Millions,1.776,1.815,1.855,2017
Guyana,"Gross domestic product, constant prices",Percent change,,5.353,43.48,20.409,2020
Guyana,"Gross domestic product, current prices",U.S. dollars,Billions,5.174,5.471,7.395,2020
Guyana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"6,594.38","6,952.70","9,369.01",2019
Guyana,"Inflation, average consumer prices",Percent change,,2.092,0.722,3.24,2020
Guyana,Volume of imports of goods and services,Percent change,,8.784,22.255,7.174,2020
Guyana,Volume of exports of goods and services,Percent change,,7.005,159.041,16.142,2020
Guyana,Population,Persons,Millions,0.785,0.787,0.789,2019
Haiti,"Gross domestic product, constant prices",Percent change,,-1.685,-3.343,-0.7,2020
Haiti,"Gross domestic product, current prices",U.S. dollars,Billions,14.787,14.508,20.143,2020
Haiti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,277.21","1,235.48","1,691.83",2003
Haiti,"Inflation, average consumer prices",Percent change,,17.308,22.945,16.166,2020
Haiti,Volume of imports of goods and services,Percent change,,-6.023,-11.225,21.933,2020
Haiti,Volume of exports of goods and services,Percent change,,-2.971,-39.492,25.912,2020
Haiti,Population,Persons,Millions,11.578,11.743,11.906,2003
Honduras,"Gross domestic product, constant prices",Percent change,,2.653,-8.965,4.9,2019
Honduras,"Gross domestic product, current prices",U.S. dollars,Billions,25.09,23.828,26.325,2019
Honduras,"Gross domestic product per capita, current prices",U.S. dollars,Units,"2,567.97","2,396.69","2,602.17",2019
Honduras,"Inflation, average consumer prices",Percent change,,4.365,3.468,4.567,2019
Honduras,Volume of imports of goods and services,Percent change,,-1.481,-4.941,4.159,2019
Honduras,Volume of exports of goods and services,Percent change,,3.556,-11.84,-0.074,2019
Honduras,Population,Persons,Millions,9.77,9.942,10.117,2019
Hong Kong SAR,"Gross domestic product, constant prices",Percent change,,-1.68,-6.081,6.435,2020
Hong Kong SAR,"Gross domestic product, current prices",U.S. dollars,Billions,363.016,346.584,369.722,2020
Hong Kong SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"48,268.22","46,657.20","49,485.08",2020
Hong Kong SAR,"Inflation, average consumer prices",Percent change,,2.883,0.251,1.9,2020
Hong Kong SAR,Volume of imports of goods and services,Percent change,,-7.265,-6.16,14.333,2020
Hong Kong SAR,Volume of exports of goods and services,Percent change,,-6.141,-5.945,15.231,2020
Hong Kong SAR,Employment,Persons,Millions,3.85,3.662,3.692,2020
Hong Kong SAR,Population,Persons,Millions,7.521,7.428,7.471,2020
Hungary,"Gross domestic product, constant prices",Percent change,,4.641,-4.957,7.6,2020
Hungary,"Gross domestic product, current prices",U.S. dollars,Billions,163.494,155.013,180.959,2020
Hungary,"Gross domestic product per capita, current prices",U.S. dollars,Units,"16,729.13","15,866.22","18,527.59",2020
Hungary,"Inflation, average consumer prices",Percent change,,3.371,3.319,4.539,2020
Hungary,Volume of imports of goods and services,Percent change,,8.216,-4.429,8.155,2020
Hungary,Volume of exports of goods and services,Percent change,,5.811,-6.797,10.458,2020
Hungary,Population,Persons,Millions,9.773,9.77,9.767,2020
Iceland,"Gross domestic product, constant prices",Percent change,,2.435,-6.504,3.696,2020
Iceland,"Gross domestic product, current prices",U.S. dollars,Billions,24.858,21.718,25.476,2020
Iceland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"69,631.27","59,643.09","68,843.65",2018
Iceland,"Inflation, average consumer prices",Percent change,,3.008,2.851,4.258,2020
Iceland,Volume of imports of goods and services,Percent change,,-8.43,-22.465,17.475,2020
Iceland,Volume of exports of goods and services,Percent change,,-4.669,-30.191,15.057,2020
Iceland,Employment,Persons,Millions,0.195,0.189,0.192,2020
Iceland,Population,Persons,Millions,0.357,0.364,0.37,2018
India,"Gross domestic product, constant prices",Percent change,,4.042,-7.252,9.497,2021
India,"Gross domestic product, current prices",U.S. dollars,Billions,"2,870.50","2,660.24","2,946.06",2021
India,"Gross domestic product per capita, current prices",U.S. dollars,Units,"2,098.93","1,929.68","2,116.44",2013
India,"Inflation, average consumer prices",Percent change,,4.762,6.175,5.557,2020
India,Volume of imports of goods and services,Percent change,,-4.054,-13.791,7.562,2020
India,Volume of exports of goods and services,Percent change,,-1.905,-5.887,6.733,2020
India,Population,Persons,Millions,"1,367.60","1,378.60","1,391.99",2013
Indonesia,"Gross domestic product, constant prices",Percent change,,5.018,-2.07,3.199,2020
Indonesia,"Gross domestic product, current prices",U.S. dollars,Billions,"1,120.04","1,059.64","1,150.25",2020
Indonesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,196.30","3,921.62","4,224.98",2020
Indonesia,"Inflation, average consumer prices",Percent change,,2.82,2.033,1.551,2020
Indonesia,Volume of imports of goods and services,Percent change,,-9.283,-14.247,8.132,2020
Indonesia,Volume of exports of goods and services,Percent change,,-6.768,-3.279,8.893,2020
Indonesia,Population,Persons,Millions,266.912,270.204,272.249,2020
Islamic Republic of Iran,"Gross domestic product, constant prices",Percent change,,-6.784,3.388,2.462,2021
Islamic Republic of Iran,"Gross domestic product, current prices",U.S. dollars,Billions,581.252,835.351,"1,081.38",2021
Islamic Republic of Iran,"Gross domestic product per capita, current prices",U.S. dollars,Units,"6,980.74","9,928.19","12,725.04",2019
Islamic Republic of Iran,"Inflation, average consumer prices",Percent change,,34.623,36.442,39.339,2021
Islamic Republic of Iran,Volume of imports of goods and services,Percent change,,-11.727,-19.29,7.104,2020
Islamic Republic of Iran,Volume of exports of goods and services,Percent change,,-21.874,-1.865,13.013,2020
Islamic Republic of Iran,Population,Persons,Millions,83.265,84.139,84.981,2019
Iraq,"Gross domestic product, constant prices",Percent change,,5.811,-15.701,3.647,2020
Iraq,"Gross domestic product, current prices",U.S. dollars,Billions,233.953,169.488,201.472,2020
Iraq,"Gross domestic product per capita, current prices",U.S. dollars,Units,"5,981.10","4,223.22","4,892.96",2013
Iraq,"Inflation, average consumer prices",Percent change,,-0.199,0.574,6.44,2020
Iraq,Population,Persons,Millions,39.115,40.132,41.176,2013
Ireland,"Gross domestic product, constant prices",Percent change,,4.917,5.867,13.036,2020
Ireland,"Gross domestic product, current prices",U.S. dollars,Billions,399.165,425.549,516.253,2020
Ireland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"80,632.33","85,205.50","102,394.02",2020
Ireland,"Inflation, average consumer prices",Percent change,,0.86,-0.459,1.9,2020
Ireland,Volume of imports of goods and services,Percent change,,41.654,-7.443,-7.25,2020
Ireland,Volume of exports of goods and services,Percent change,,10.421,9.498,14.5,2020
Ireland,Employment,Persons,Millions,2.319,2.253,2.275,2020
Ireland,Population,Persons,Millions,4.95,4.994,5.042,2020
Israel,"Gross domestic product, constant prices",Percent change,,3.774,-2.153,7.06,2020
Israel,"Gross domestic product, current prices",U.S. dollars,Billions,397.935,407.101,467.532,2020
Israel,"Gross domestic product per capita, current prices",U.S. dollars,Units,"43,965.66","44,181.17","49,840.25",2020
Israel,"Inflation, average consumer prices",Percent change,,0.844,-0.588,1.408,2020
Israel,Volume of imports of goods and services,Percent change,,3.377,-9.461,18.234,2020
Israel,Volume of exports of goods and services,Percent change,,3.918,-1.893,13.205,2020
Israel,Employment,Persons,Millions,3.967,3.913,3.973,2020
Israel,Population,Persons,Millions,9.051,9.214,9.381,2020
Italy,"Gross domestic product, constant prices",Percent change,,0.287,-8.871,5.77,2020
Italy,"Gross domestic product, current prices",U.S. dollars,Billions,"2,005.14","1,884.94","2,120.23",2020
Italy,"Gross domestic product per capita, current prices",U.S. dollars,Units,"33,521.34","31,604.43","35,584.88",2019
Italy,"Inflation, average consumer prices",Percent change,,0.634,-0.145,1.659,2020
Italy,Volume of imports of goods and services,Percent change,,-0.65,-12.592,13.476,2020
Italy,Volume of exports of goods and services,Percent change,,1.624,-13.76,12.938,2020
Italy,Employment,Persons,Millions,23.333,22.666,22.685,2019
Italy,Population,Persons,Millions,59.817,59.641,59.582,2019
Jamaica,"Gross domestic product, constant prices",Percent change,,0.97,-10.049,4.576,2020
Jamaica,"Gross domestic product, current prices",U.S. dollars,Billions,15.808,13.967,14.857,2020
Jamaica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"5,781.79","5,102.76","5,421.64",2019
Jamaica,"Inflation, average consumer prices",Percent change,,3.91,5.21,5.605,2019
Jamaica,Volume of imports of goods and services,Percent change,,11.528,-16.183,-7.668,2019
Jamaica,Volume of exports of goods and services,Percent change,,7.906,-37.815,7.665,2019
Jamaica,Population,Persons,Millions,2.734,2.737,2.74,2019
Japan,"Gross domestic product, constant prices",Percent change,,0.015,-4.586,2.358,2020
Japan,"Gross domestic product, current prices",U.S. dollars,Billions,"5,135.90","5,045.10","5,103.11",2020
Japan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"40,689.79","40,088.60","40,704.30",2015
Japan,"Inflation, average consumer prices",Percent change,,0.468,-0.027,-0.168,2020
Japan,Volume of imports of goods and services,Percent change,,0.987,-7.284,9.45,2020
Japan,Volume of exports of goods and services,Percent change,,-1.458,-11.739,13.183,2020
Japan,Employment,Persons,Millions,67.24,66.763,66.891,2020
Japan,Population,Persons,Millions,126.221,125.849,125.37,2015
Jordan,"Gross domestic product, constant prices",Percent change,,1.955,-1.551,2.039,2019
Jordan,"Gross domestic product, current prices",U.S. dollars,Billions,44.566,43.759,45.344,2019
Jordan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,425.69","4,286.49","4,393.64",2018
Jordan,"Inflation, average consumer prices",Percent change,,0.677,0.397,1.647,2020
Jordan,Volume of imports of goods and services,Percent change,,2.098,-16.851,1.689,2019
Jordan,Volume of exports of goods and services,Percent change,,11.574,-15.337,5.252,2019
Jordan,Population,Persons,Millions,10.07,10.209,10.32,2018
Kazakhstan,"Gross domestic product, constant prices",Percent change,,4.5,-2.6,3.287,2020
Kazakhstan,"Gross domestic product, current prices",U.S. dollars,Billions,181.667,171.24,194.024,2020
Kazakhstan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"9,750.43","9,071.30","10,144.68",2019
Kazakhstan,"Inflation, average consumer prices",Percent change,,5.244,6.799,7.536,2020
Kazakhstan,Volume of imports of goods and services,Percent change,,12.094,-10.705,-2.076,2019
Kazakhstan,Volume of exports of goods and services,Percent change,,2.918,-5.438,-3.781,2019
Kazakhstan,Population,Persons,Millions,18.632,18.877,19.126,2019
Kenya,"Gross domestic product, constant prices",Percent change,,4.981,-0.316,5.599,2020
Kenya,"Gross domestic product, current prices",U.S. dollars,Billions,100.458,102.427,109.491,2020
Kenya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"2,110.46","2,103.55","2,198.59",2019
Kenya,"Inflation, average consumer prices",Percent change,,5.204,5.166,6,2020
Kenya,Volume of imports of goods and services,Percent change,,-2.023,-2.189,10.99,2019
Kenya,Volume of exports of goods and services,Percent change,,-0.218,-12.552,15.388,2019
Kenya,Population,Persons,Millions,47.6,48.693,49.801,2019
Kiribati,"Gross domestic product, constant prices",Percent change,,3.926,-0.476,1.79,2019
Kiribati,"Gross domestic product, current prices",U.S. dollars,Billions,0.198,0.198,0.232,2019
Kiribati,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,695.30","1,673.41","1,927.08",2017
Kiribati,"Inflation, average consumer prices",Percent change,,-1.813,1.811,3.307,2019
Kiribati,Volume of imports of goods and services,Percent change,,1.936,-1.284,13.702,2019
Kiribati,Volume of exports of goods and services,Percent change,,66.325,-17.792,22.791,2019
Kiribati,Population,Persons,Millions,0.117,0.119,0.121,2017
Korea,"Gross domestic product, constant prices",Percent change,,2.244,-0.852,4.278,2020
Korea,"Gross domestic product, current prices",U.S. dollars,Billions,"1,651.42","1,638.26","1,823.85",2020
Korea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"31,936.80","31,638.46","35,195.52",2020
Korea,"Inflation, average consumer prices",Percent change,,0.383,0.537,2.188,2020
Korea,Volume of imports of goods and services,Percent change,,-1.909,-3.33,8.433,2020
Korea,Volume of exports of goods and services,Percent change,,0.238,-1.842,9.02,2020
Korea,Employment,Persons,Millions,27.123,26.904,27.316,2020
Korea,Population,Persons,Millions,51.709,51.781,51.821,2020
Kosovo,"Gross domestic product, constant prices",Percent change,,4.939,-5.3,6,2020
Kosovo,"Gross domestic product, current prices",U.S. dollars,Billions,7.953,7.78,8.958,2020
Kosovo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,462.72","4,348.29","4,986.26",2020
Kosovo,"Inflation, average consumer prices",Percent change,,2.666,0.197,3.134,2020
Kosovo,Volume of imports of goods and services,Percent change,,3.463,-6.485,18.915,2020
Kosovo,Volume of exports of goods and services,Percent change,,7.404,-27.814,44.091,2020
Kosovo,Population,Persons,Millions,1.782,1.789,1.796,2020
Kuwait,"Gross domestic product, constant prices",Percent change,,-0.552,-8.855,0.948,2020
Kuwait,"Gross domestic product, current prices",U.S. dollars,Billions,136.192,105.949,132.266,2020
Kuwait,"Gross domestic product per capita, current prices",U.S. dollars,Units,"28,513.43","22,683.64","27,927.16",2020
Kuwait,"Inflation, average consumer prices",Percent change,,1.1,2.109,3.162,2020
Kuwait,Volume of imports of goods and services,Percent change,,-10.419,-14.179,12.579,2019
Kuwait,Volume of exports of goods and services,Percent change,,-10.05,-11.792,-0.962,2019
Kuwait,Population,Persons,Millions,4.776,4.671,4.736,2020
Kyrgyz Republic,"Gross domestic product, constant prices",Percent change,,4.601,-8.617,2.098,2020
